;we.ep;we.eBH;wi.ep;wi.eBH
Howardella;0.498209394;0.976776996;0.506660068;0.976898463
[Eubacterium]_nodatum_group;0.469429249;0.976317286;0.515607003;0.977701503
[Eubacterium]_ruminantium_group;0.498440248;0.984107619;0.517659271;0.983466413
unknown_Barnesiellaceae;0.489604282;0.9820343;0.518216526;0.978794488
[Eubacterium]_xylanophilum_group;0.388701017;0.980399427;0.521529206;0.985377529
Lachnospiraceae_UCG-010;0.452523343;0.9818027;0.521590266;0.98689168
Mogibacterium;0.50613018;0.968245133;0.521855075;0.976662403
Ruminiclostridium;0.47210157;0.97279818;0.521935418;0.973684822
Clostridia_vadinBB60_group;0.489786284;0.98342932;0.523308309;0.987972074
unknown_Clostridia;0.591403787;0.983074919;0.523393151;0.985246241
Acetanaerobacterium;0.490988085;0.980535989;0.524141943;0.981226937
[Clostridium]_innocuum_group;0.451555363;0.96717495;0.526545146;0.968832576
Clostridium_sensu_stricto_1;0.499134258;0.982565095;0.527912253;0.987126919
[Eubacterium]_hallii_group;0.768861154;0.984439865;0.531924877;0.985646377
Victivallaceae;0.482100722;0.979254014;0.532225036;0.977569305
[Bacteroides]_pectinophilus_group;0.512724691;0.976618945;0.534590318;0.978522962
Eisenbergiella;0.499141512;0.981407132;0.535203491;0.980879608
Fusobacterium;0.518730795;0.981967281;0.535578851;0.987205719
Candidatus_Nitrososphaera;0.504294465;0.980721791;0.535675262;0.9716899
DTU014;0.463026953;0.977590338;0.537448581;0.976605162
Hungatella;0.507838175;0.979241771;0.537771879;0.984682857
Eubacterium;0.51053187;0.978987633;0.539060572;0.97977068
Veillonella;0.509750219;0.980132649;0.543420275;0.983025076
Slackia;0.495017225;0.97847459;0.54363495;0.980949734
unknown_Desulfovibrionaceae;0.509454975;0.965029948;0.544007096;0.96252335
Campylobacter;0.502447943;0.975580989;0.545110037;0.979977846
Atopobium;0.540310395;0.979215534;0.545391557;0.983661508
NK4A214_group;0.544781042;0.982565205;0.546615976;0.983163123
Candidatus_Soleaferrea;0.507023498;0.971091244;0.551787459;0.976068264
Actinomyces;0.510557754;0.977354297;0.552178245;0.976306519
Barnesiella;0.732588607;0.985093907;0.552484831;0.986979309
Holdemanella;0.520901444;0.981855873;0.553607055;0.98379309
F082;0.518925233;0.978584884;0.561116824;0.980472828
unknown_Peptococcaceae;0.543089481;0.983965028;0.564057358;0.98796448
Senegalimassilia;0.532858404;0.980369133;0.564601116;0.97504622
Dialister;0.735770837;0.984419637;0.56689891;0.986964421
unknown_Christensenellaceae;0.513862324;0.979688246;0.569176779;0.9815918
Faecalibacterium;0.58590604;0.983425688;0.569520645;0.986743437
GCA-900066755;0.571041247;0.982575004;0.572177088;0.984630315
Lactobacillus;0.539099654;0.982560514;0.572529952;0.98347245
unknown_Anaerovoracaceae;0.568930835;0.981398783;0.573199044;0.985470283
Victivallis;0.52707815;0.979211605;0.574698555;0.979014979
Alloprevotella;0.618327531;0.982480365;0.579351347;0.984435193
Eggerthella;0.571930627;0.981825929;0.580480641;0.985974983
UCG-004;0.547170588;0.981808862;0.581831679;0.985180541
unknown_Peptostreptococcaceae;0.549019634;0.980950279;0.587223622;0.986780222
UCG-009;0.580592141;0.979820017;0.588667215;0.983047142
Faecalitalea;0.600031471;0.98156826;0.590151301;0.982140971
unknown_Prevotellaceae;0.571043317;0.982816837;0.590722054;0.984146528
Butyricicoccus;0.77642695;0.985143596;0.594557281;0.987185556
Lactococcus;0.575781258;0.982623283;0.595225087;0.987251155
Moryella;0.577665396;0.979793925;0.595482826;0.98147602
unknown_Bacteroidales;0.60675593;0.982522505;0.596110783;0.985156865
unknown_Succinivibrionaceae;0.581739351;0.983356149;0.603995912;0.988090471
Bifidobacterium;0.360917766;0.981853601;0.606286636;0.987794551
Fournierella;0.605294971;0.983755322;0.609403281;0.986585467
Methanobrevibacter;0.593491317;0.982697596;0.6130489;0.982954304
CAG-352;0.639860449;0.983900663;0.613519385;0.986238775
Anaerotruncus;0.585208575;0.983130072;0.614066999;0.986894001
vadinBE97;0.584346827;0.981314727;0.614466783;0.981974216
Peptococcus;0.605535437;0.983174472;0.61576576;0.986046073
CAG-56;0.58476211;0.983432271;0.616348082;0.988884029
Solobacterium;0.565520989;0.981771145;0.617152792;0.988086928
GCA-900066575;0.546371551;0.983087079;0.619285402;0.987156503
UBA1819;0.541380149;0.983390913;0.620160813;0.988265787
Lachnospiraceae_NK4A136_group;0.778743139;0.98497663;0.625393357;0.986942524
Gastranaerophilales;0.639824291;0.983241887;0.627031057;0.988205911
Incertae_Sedis;0.570324975;0.982236919;0.638447398;0.988368182
[Eubacterium]_ventriosum_group;0.634088224;0.983924602;0.647281854;0.989283733
Prevotella;0.689305394;0.984215628;0.655127777;0.988240181
Tyzzerella;0.636547323;0.984300158;0.655454288;0.989279029
Holdemania;0.623940261;0.98324808;0.655945984;0.988660346
[Ruminococcus]_gnavus_group;0.693137951;0.984646247;0.657486631;0.987117401
Family_XIII_UCG-001;0.629803817;0.982024935;0.658176933;0.987732421
[Eubacterium]_siraeum_group;0.69813632;0.984194568;0.663858752;0.986924745
unknown_Coriobacteriales_Incertae_Sedis;0.605946326;0.982356949;0.664006582;0.987013854
Catenibacterium;0.650523937;0.983877936;0.667648344;0.987585936
unknown_Atopobiaceae;0.599662144;0.983818917;0.669889577;0.988514152
unknown_Lachnospiraceae;0.851969023;0.98569627;0.672710561;0.988913688
Muribaculaceae;0.666148251;0.983586095;0.673310238;0.988559953
[Ruminococcus]_gauvreauii_group;0.670896682;0.983469756;0.675795069;0.988911709
Frisingicoccus;0.697014994;0.984647986;0.679693285;0.988935566
UCG-010;0.681627732;0.983487441;0.685737608;0.989860671
Turicibacter;0.652147738;0.981799338;0.691781931;0.986174111
Lachnospiraceae_FCS020_group;0.597553569;0.983683371;0.692895156;0.989837615
Collinsella;0.67313711;0.984291576;0.698844997;0.98969204
Lachnospiraceae_UCG-008;0.656323398;0.983664416;0.699535942;0.988703434
Phascolarctobacterium;0.688933012;0.98480503;0.700217246;0.989288048
Erysipelatoclostridium;0.688942456;0.983632544;0.7012527;0.987697582
Parasutterella;0.711430736;0.983796017;0.703142354;0.988781366
Bacteroides;0.763433468;0.985194999;0.710546072;0.989134796
Colidextribacter;0.795327958;0.986505637;0.714281031;0.98955974
Enterorhabdus;0.6582234;0.98383469;0.715151944;0.989809325
unknown_Eggerthellaceae;0.663414374;0.984491079;0.715834533;0.990284959
Lachnospiraceae_UCG-001;0.675657473;0.984341804;0.725313014;0.989871622
RF39;0.65786992;0.982675943;0.725794426;0.988928893
Butyricimonas;0.518180261;0.98333086;0.746281109;0.988713274
Sutterella;0.578124393;0.983549118;0.752022702;0.989854463
Family_XIII_AD3011_group;0.663275518;0.984272777;0.77241233;0.99091821
Dorea;0.756600884;0.984251831;0.781874743;0.989172379
Erysipelotrichaceae_UCG-003;0.76456032;0.98556742;0.79295943;0.989974273
Subdoligranulum;0.722763173;0.984591393;0.793127185;0.990036483
Streptococcus;0.74483893;0.984559211;0.797227864;0.990060858
Alistipes;0.811206868;0.985545736;0.803877648;0.990531157
Blautia;0.787045659;0.985184801;0.803961204;0.991403222
UCG-003;0.559908808;0.98418765;0.816878985;0.990621854
Lachnoclostridium;0.850913001;0.986509494;0.82764873;0.992202552
unknown_Oscillospiraceae;0.672461954;0.983690105;0.831480744;0.989997478
[Ruminococcus]_torques_group;0.740945921;0.985244951;0.832743084;0.992557317
Monoglobus;0.577907228;0.983540499;0.83314801;0.990989988
Agathobacter;0.443514806;0.981994137;0.839725807;0.990705191
Anaerostipes;0.742636397;0.984637917;0.839962335;0.990656333
Flavonifractor;0.752732998;0.984151598;0.841326872;0.990761875
Coprococcus;0.768815312;0.984771003;0.870007199;0.991871384
Oscillibacter;0.782330824;0.985340521;0.900198607;0.993027373
