;we.ep;we.eBH;wi.ep;wi.eBH
[Eubacterium]_coprostanoligenes_group;0.018773878;0.870179194;0.012514783;0.793923643
Lachnospiraceae_UCG-004;0.05776082;0.889352007;0.041529335;0.845541738
[Eubacterium]_eligens_group;0.096943796;0.956490296;0.071227761;0.907753578
unknown_Ruminococcaceae;0.105043471;0.976235468;0.095784914;0.961916129
Ruminococcus;0.054821116;0.943334217;0.128010592;0.930126905
Odoribacter;0.181358683;0.978576056;0.128621838;0.952850177
Akkermansia;0.114168215;0.943007413;0.17541521;0.9304277
Lachnospiraceae_ND3007_group;0.395142698;0.981894009;0.226817668;0.980936117
UCG-005;0.379083272;0.982208844;0.237021802;0.980090932
Romboutsia;0.212398361;0.975464851;0.256007044;0.97795957
Christensenellaceae_R-7_group;0.642525776;0.982827327;0.262271827;0.982357924
Roseburia;0.641405848;0.983694464;0.265501594;0.98422175
Intestinimonas;0.398913519;0.980452042;0.267068593;0.976021262
Anaerosporobacter;0.251530214;0.949830123;0.285328826;0.937046865
Intestinibacter;0.377068813;0.980825177;0.290255425;0.976297489
Clostridia_UCG-014;0.473470154;0.982527246;0.334117904;0.983849293
unknown_Rhodospirillales;0.356864741;0.981805084;0.334549182;0.985627919
Bilophila;0.72950214;0.985118388;0.3831223;0.986677372
Adlercreutzia;0.401582264;0.969780758;0.393826486;0.970718714
[Eubacterium]_oxidoreducens_group;0.378973609;0.962478595;0.408448812;0.954380759
UCG-002;0.507853505;0.982039169;0.421456577;0.985798016
Izemoplasmatales;0.349189649;0.970221612;0.429430404;0.975257183
Gordonibacter;0.449529261;0.966889628;0.431467246;0.963021194
unknown_Pasteurellaceae;0.387904848;0.964381228;0.432861348;0.967482914
Coprobacter;0.428054923;0.979438932;0.443887546;0.983683385
Fusicatenibacter;0.362045745;0.981801973;0.443967889;0.986419552
Lachnospira;0.70200185;0.984282301;0.459250309;0.986453849
unknown_Marinifilaceae;0.467467802;0.978366904;0.462293681;0.970910216
Porphyromonas;0.450781401;0.981140186;0.467528795;0.977597851
Parabacteroides;0.3451014;0.981805084;0.471722028;0.987585993
Merdibacter;0.398508494;0.966181179;0.47172717;0.970103136
Enterococcus;0.467747626;0.967273607;0.479927242;0.967243437
Marvinbryantia;0.456952806;0.965254363;0.480282677;0.958105983
Dielma;0.469547798;0.968784186;0.48224946;0.968754225
unknown_Bacteria;0.440092519;0.973801921;0.483165364;0.972148868
Desulfovibrio;0.452263789;0.976439816;0.489160196;0.978084446
unknown_Lactobacillales;0.479738622;0.978038217;0.489206474;0.978562131
Paraprevotella;0.49816645;0.981832858;0.492175931;0.979925699
Corynebacterium;0.485744204;0.973281539;0.495986734;0.97171512
Gemella;0.475774593;0.974031669;0.500558541;0.968950435
Chloroplast;0.48170762;0.978870575;0.501297049;0.97933689
