;we.ep;we.eBH;wi.ep;wi.eBH
21244344ecc11d34801ea1a3e7e60729;0.023768246;0.985265989;0.041628959;0.977558356
95b0de76367430c515f09c80ee56ca30;0.08197467;0.966018595;0.056003831;0.954563761
8bf5c3ce0f4325a075b3080691df7234;0.055948065;0.985306635;0.068008921;0.98655624
bc96b9c50be76b6ed816f92c79c08431;0.350256748;0.986266282;0.112311677;0.991631796
5170506d93cfccd4f1e6663ab5aae0e5;0.114044219;0.985306635;0.116776147;0.98942568
15a7f644ea4af1732c4e43e3e5185896;0.096747269;0.972671798;0.117168218;0.962007702
33861105086018c1be6fecd277ceb104;0.155339976;0.985617657;0.124904875;0.984072348
b91a9a16d4d797fd6f6b9d3a655aa5e7;0.072495887;0.985306635;0.13965832;0.990714748
c3267bbe3eace962ba01bacb87c3b9ab;0.390094934;0.987119941;0.141508767;0.99120907
a2d9648ec7c3eb8e220dbbcdfd3ad428;0.128521679;0.984077148;0.145104895;0.974114694
379e9f3cb514ded7c9b32f7eb252a9f2;0.471251127;0.988054165;0.160440662;0.987702309
5ca7489457a084e5a3bd5baad1c04ac0;0.26325457;0.986140847;0.16076396;0.991169671
45985dfa875b453213c740997f41b503;0.177020822;0.97315626;0.171969483;0.975347362
1433d631c9749aff7b355160f052f281;0.089428403;0.985306635;0.180006942;0.992825059
14805da8fff33bca0911e7348d6bdc7e;0.12823871;0.985306635;0.185933001;0.992741637
89d4f3c8d20005913ca15c7b635d3d19;0.527831617;0.988319549;0.188965446;0.993620248
d9e0222c6c0fec0ee9e5288e81dc78fc;0.158674348;0.98597825;0.197249074;0.985655796
c7b99de1146e7e81c850b7f33a5280da;0.218269885;0.984715649;0.205593763;0.982439647
08c22a9d8bb7bb0aa334775a1f444efc;0.194001993;0.986462308;0.206186369;0.992284428
93da6ba54156011b64a016be7193eb03;0.197494115;0.985630392;0.211914464;0.986821994
b5e1efb5757937645f31bee598a300c7;0.299809055;0.986703933;0.24016994;0.987219707
e28ae0c846eb003b5d3ce0987a465b8c;0.21249781;0.985110302;0.250280877;0.990121699
587d9d266b479437d497fd10bf28f452;0.218925561;0.986351192;0.261343711;0.988901652
0e04a2fffa73050aca69e9408d5fc350;0.332088142;0.986908441;0.262849008;0.991381238
2d31dc935aa587745e082c698bcd63aa;0.24942618;0.986299961;0.263299568;0.993670053
c8f203a2c1ac2ea87faa976193b61e61;0.42893718;0.987535928;0.263525812;0.99237143
4c3f1d9af67c8458d200239c202e4165;0.488617804;0.987907352;0.269722465;0.993827523
003845a5042c6bb6d0083ffe30c721e4;0.237639353;0.985963181;0.277420557;0.987929263
e36e30219dbbb133a346ed4eac549c15;0.219133456;0.986381764;0.28175198;0.989732386
c4c8b5cfba3b099e7538ba0c6e3f9ab9;0.211693407;0.986107048;0.282804144;0.992226986
3924d4839f3be7e3eb22cc2bce17d98d;0.217933294;0.985895907;0.282839495;0.992302448
20613ffe61c28ec15e7d0ba578982078;0.311936938;0.986748017;0.290160942;0.993869703
1c5fa4c003007957ab5818093c5b6fe1;0.214466894;0.985861097;0.29727607;0.99020751
a6e7750c776e9b8f0aad5022a592749d;0.294411068;0.98699944;0.298431073;0.992702064
7c9ab10ab4c8c7e62a9dbf5e8c9a807c;0.239463342;0.985898633;0.299408037;0.981347728
461761ec8e1b9d157fd577f4614209fe;0.259169085;0.985772638;0.304098751;0.993848452
4a629adf2dd830dada3564c852d284f4;0.281880659;0.986494648;0.304967734;0.992282599
ed37d47f076b52c3ba2b873bbcac3f09;0.566756635;0.989083668;0.30692102;0.993852713
500d23ac1836e49da4619dcb525073e6;0.286598425;0.986647617;0.317688194;0.992886095
d66128f6cbfbfbdbe021964c2d71e27e;0.302058489;0.987157575;0.318143254;0.993855824
0524c4d1ed77e725a474d64be0dee997;0.235614241;0.984448455;0.319940354;0.982191461
abf16981ce374d093aafc5ac0cba6bce;0.278778259;0.986583742;0.323080137;0.986777463
5436d8b5b9dca478f8322479803ede42;0.288631101;0.986896756;0.323466423;0.987474339
85779e70782cef91051adcdd1a953680;0.275948461;0.987024658;0.323677885;0.988506573
0247e9f1f435d4e5fc5df7e859aa20fc;0.301094921;0.986722497;0.323829571;0.991975587
ffd033102a6a317eb99a3f8ff243caa6;0.261746784;0.986050374;0.324273704;0.991187626
bc8135239e5e730f5eb32985b5269740;0.266558282;0.986219681;0.324627854;0.989515518
d696d3226040fc335f7396cb26805ff3;0.261224389;0.986715889;0.325253239;0.990907764
2c18274eae6fe6213e891d9e0587b1db;0.334350847;0.987730012;0.328648833;0.993581259
3a80ef12e5b955a5698245876447e0bb;0.274565909;0.986333969;0.328921997;0.9896859
f938a407edf460037e10cedb8d034770;0.30530642;0.987198514;0.333016891;0.991792065
afc124ade19bf60bc6d6648003b4cf0e;0.351484197;0.987146248;0.333087593;0.99309706
1f63972e5c39f7c2e2c530fdd72d579a;0.31034946;0.987362688;0.333275915;0.978059185
1de847beda11b1b415c462339456c94c;0.297578194;0.987405466;0.33377211;0.98487945
6253ce28e651ec93677c7e2b80fa9ead;0.261173246;0.987038968;0.339396082;0.994393848
c77f4312cec3caab4a83e15ff7215c7c;0.25515221;0.984554431;0.341349368;0.99182431
acaec9065cfa8ac56d56a61748d037a7;0.32121881;0.982149237;0.343812988;0.988036937
fd70271c8a65ae30025ab08bf54c8e84;0.324404842;0.987518221;0.343936394;0.990249685
4c4ea0e3e2af30ab147dfc7ad80049ef;0.385373058;0.98754113;0.344670403;0.994429635
0fc8b817bbed0f4f1227727d0cb03852;0.291557773;0.987137324;0.345947527;0.993890696
