;we.ep;we.eBH;wi.ep;wi.eBH
Odoribacter;0.039065021;0.928181171;0.009406494;0.739037955
Bilophila;0.147588936;0.967387257;0.062960844;0.960595395
Ruminococcus;0.163070513;0.96968221;0.127632019;0.951063884
[Eubacterium]_coprostanoligenes_group;0.183629876;0.969832814;0.146789516;0.975188609
Lachnospiraceae_UCG-001;0.247384874;0.972327357;0.181062963;0.978192164
Incertae_Sedis;0.195630494;0.970721054;0.182766865;0.98174623
Intestinimonas;0.238717861;0.971771225;0.201572141;0.978064635
[Eubacterium]_hallii_group;0.697040583;0.977267451;0.245430121;0.984396967
UCG-005;0.392603811;0.972899316;0.255301316;0.982681739
Romboutsia;0.200857015;0.97003757;0.281492313;0.981900135
Eggerthella;0.279572601;0.9692172;0.30738315;0.971611031
Erysipelotrichaceae_UCG-003;0.477984833;0.973353267;0.314081139;0.984498874
Christensenellaceae_R-7_group;0.59823677;0.97652119;0.329414336;0.984784944
Lachnospiraceae_FCS020_group;0.304733942;0.970096956;0.340178939;0.978337256
Anaerostipes;0.236228389;0.972105577;0.351319544;0.984737033
Akkermansia;0.297206869;0.968218416;0.362710819;0.973166768
Fusicatenibacter;0.355670375;0.972398361;0.373173334;0.985106284
Holdemania;0.436950713;0.97404205;0.375969894;0.985336707
Colidextribacter;0.490939851;0.974759088;0.391691305;0.986006296
Eisenbergiella;0.35610411;0.966937132;0.408084379;0.968074722
CAG-56;0.354048418;0.964584568;0.421676393;0.973333108
Chloroplast;0.415800967;0.961086432;0.42322861;0.967934385
[Eubacterium]_eligens_group;0.482067618;0.973495407;0.432402432;0.984828166
Clostridia_UCG-014;0.50169658;0.975072363;0.432992467;0.984704854
Sellimonas;0.390010258;0.966952693;0.438977658;0.976981905
Barnesiella;0.395833235;0.97373655;0.442084019;0.986221256
unknown_Barnesiellaceae;0.402007455;0.965727847;0.464955908;0.973229902
Prevotella;0.53680651;0.974243135;0.470224445;0.985682371
Howardella;0.47072609;0.962776369;0.470780414;0.967285598
[Bacteroides]_pectinophilus_group;0.450812414;0.968576157;0.47731322;0.97619695
Dialister;0.580775367;0.975918803;0.479732492;0.986607716
Eubacterium;0.47545684;0.96927489;0.484481695;0.980452053
Parabacteroides;0.304906771;0.972168154;0.48567719;0.986974062
DTU089;0.450046198;0.974191099;0.488736631;0.974522208
Mogibacterium;0.450890833;0.969131118;0.489070856;0.973736818
Coprobacillus;0.4709617;0.968206283;0.489903846;0.977133282
Paludicola;0.455726637;0.972126582;0.490325483;0.974054446
Fusobacterium;0.474375447;0.97376534;0.493082194;0.984668003
Gordonibacter;0.481836321;0.97518137;0.49338878;0.979101019
Libanicoccus;0.474821974;0.967964066;0.495029052;0.973152857
Hungatella;0.481107253;0.973137256;0.495160171;0.974461077
unknown_Oscillospirales;0.46557028;0.973398104;0.496516994;0.976991091
Dielma;0.489102475;0.972186438;0.499026249;0.979180148
[Eubacterium]_nodatum_group;0.484028212;0.974875775;0.500805995;0.985283867
Weissella;0.485297196;0.972884027;0.502832553;0.979908644
