;we.ep;we.eBH;wi.ep;wi.eBH
7485b4c2c9da19eb5eae500d9b13dad8;0.417152434;0.992229365;0.435039593;0.998113344
14805da8fff33bca0911e7348d6bdc7e;0.387059506;0.991296628;0.435772959;0.997836943
11c7dd57823718a17f005c640ce8ae5b;0.41210391;0.992239784;0.436441408;0.997403064
ff52da9249f319f3caa2c562b56b4ea0;0.383282947;0.991842274;0.436731283;0.994322889
6baaad8156d7bd71a15a42263fda0928;0.410887495;0.991747819;0.437381736;0.997300955
3ecbc14f463f7c4cdad5365dc9b0fd68;0.420175141;0.992073263;0.437661328;0.996397963
6723e2aed935b38b9028a0c9237abf39;0.415909147;0.991984983;0.438377982;0.996487165
432516a8b09a9fcdccd304839b35cd76;0.367838782;0.988944053;0.438543809;0.996616298
6de35c8fcd180546c377dfd514f349bc;0.373981178;0.991875545;0.438807332;0.995296911
a0df73c7ea56bbed761b7fee79d99211;0.374000143;0.991741279;0.438807975;0.993698065
c9a5f6a5c8e86a4bf05c4250dd27ab5c;0.372455526;0.986052856;0.438973802;0.979775
536875c2e21d1cee497fb24649b56283;0.381952919;0.99169247;0.439905774;0.990322798
b86e928af0286f58c2723d4e9ab24eb7;0.413223165;0.992281821;0.441215035;0.997829075
003845a5042c6bb6d0083ffe30c721e4;0.388339331;0.991781376;0.441218249;0.997968265
b0d4f15fdb18b66f6872cab197bad539;0.428077733;0.992045049;0.441395002;0.997154509
62a68d7ea663fb9ff71b832df11f13c7;0.38203364;0.991478855;0.441562114;0.996238002
9ccc9a4e2d4c9fb1b4f030b9b45a54f7;0.412430862;0.991830554;0.442546149;0.997461827
a1264c8734e0b9a0a38fe7063ecb5a47;0.402708298;0.991774147;0.444409451;0.995693353
027184f9f93bd61b244869f2aea3f75a;0.438792665;0.991795973;0.444675545;0.997966035
d44fe6cc4857ffd182d5b8f18859accc;0.433242596;0.991956411;0.444843943;0.997598704
d661850082f6d04ddecea7d4c6a80fe8;0.445885372;0.992455523;0.44493007;0.99767515
ecfc471e206f353a6aab17b9a4983c43;0.393190655;0.991937674;0.445485397;0.997603567
ccc53e410a293e81dcb492562f569862;0.430482766;0.991736008;0.445960382;0.997536165
49975a0b491e2dc503406898e0c9106a;0.396311978;0.992033621;0.446826152;0.997740528
263a21c85aa031890d276314a81d0dee;0.36089185;0.991292174;0.448288384;0.997358516
d333e920c2c903ee2483102202f7d961;0.420425265;0.986751367;0.448299954;0.992455839
341bdfd01dc5880028eb1983c1f29356;0.438426829;0.992842144;0.44843043;0.998177726
e67494086857cd81e614f04d2b19f4b1;0.395019222;0.992351209;0.448771082;0.998004089
85f35d28659a72810f8bc3df12aa7f15;0.45153665;0.992255403;0.449064171;0.997064492
b96f2b945ba7fc6593af5f8fdc18b314;0.379743986;0.992264303;0.450373432;0.997028337
989668bf50ba8b4381633158bd77f63d;0.444432077;0.991070247;0.450385001;0.991154067
3cb7dc1069d5e48227b7c990175b5b1d;0.396164689;0.991867218;0.450976321;0.992924412
ef8ac73c5687b6c40a710651f01a6bd9;0.40769611;0.992168388;0.451178142;0.997984978
