ID	ESANII111	ESANII114	ESANII116	ESANII117	ESANII118	ESANII124	ESANII131	ESANII135	ESANII137	ESANII140	ESANII211	ESANII214	ESANII216	ESANII217	ESANII218	ESANII224	ESANII231	ESANII235	ESANII237	ESANII240	ESANII311	ESANII314	ESANII316	ESANII317	ESANII318	ESANII324	ESANII331	ESANII335	ESANII337
14ad19874f17654aa7f64050e16d13b1	28	11	24	15	64	0	21	56	28	12	55	0	10	31	27	0	43	29	15	15	63	0	16	58	6	0	16	17	17
ccc53e410a293e81dcb492562f569862	0	13	0	134	28	14	18	0	80	0	0	9	0	151	36	0	37	14	41	0	0	45	0	0	15	0	50	0	32
4fa00e02a6574167a617e46e092fa7b1	0	36	23	12	7	0	24	42	46	0	0	51	23	24	5	3	5	33	55	12	0	28	17	20	6	0	13	27	28
1d824e39847e8c13dca55ee7e0982331	0	51	0	0	43	0	23	0	18	34	0	0	33	59	30	0	17	18	7	16	0	26	30	36	35	0	25	27	17
677e98ace16c35348bd9f15910f7cd47	14	11	92	24	50	34	11	0	16	40	16	15	90	67	21	21	20	15	14	26	14	12	44	37	16	40	9	32	0
a9b473f25833beec8f95c4f67cffa33a	0	15	20	69	16	0	16	0	14	0	0	26	5	29	25	0	15	11	6	0	0	21	19	52	22	0	7	17	17
af7573a2caa33cb73ef07337c56b4050	27	9	25	6	47	0	26	31	30	16	56	0	5	29	45	0	29	23	22	22	67	0	27	43	7	0	29	9	23
e103ed4e46187481a50b21e5b34f1d81	30	0	0	36	28	15	38	0	19	0	18	0	0	72	63	10	75	10	20	0	37	17	0	0	0	35	57	0	34
351d173cd84c225c0bcf8e5c21b439c0	0	32	25	10	3	0	18	36	33	0	0	53	37	23	4	3	6	20	52	16	0	24	16	23	9	0	10	26	33
b22f09639634f3d30f45549723427e53	13	0	0	35	36	22	49	0	23	0	33	0	0	47	34	5	50	10	16	0	32	29	0	0	0	34	66	0	41
ed37d47f076b52c3ba2b873bbcac3f09	0	39	0	0	41	0	19	0	17	31	0	0	30	61	30	0	19	19	18	15	0	32	21	41	49	0	17	19	20
ed33aedb29135658ab89cfdbd0c621a5	31	42	0	0	27	54	20	0	14	0	23	28	0	0	22	78	0	0	54	0	26	19	0	0	18	65	0	0	25
0016b0cfc0745ee590eeec56f80a06bd	15	36	0	0	25	75	25	0	30	0	20	23	0	0	28	89	0	0	47	0	22	23	0	0	17	67	0	0	29
1ce7e53802c2b285107d11fd04d24b13	0	9	11	55	21	0	4	10	11	0	0	36	10	19	25	0	9	19	16	0	0	17	10	44	11	0	15	9	19
20805b3c6b426941bb1da2011c54e7ff	21	0	23	55	0	0	17	0	22	29	17	28	44	0	0	0	0	0	7	36	17	0	20	40	59	0	29	0	0
aa383260a54f2adc1814ad36b9fef394	24	18	32	0	0	23	12	108	0	22	15	16	0	0	0	57	35	31	0	0	43	54	19	18	0	23	0	60	0
a4d3314c46ecfcccd04a11cf433f600a	0	0	0	31	30	0	63	0	9	0	0	0	0	35	12	0	117	36	25	7	0	0	0	36	14	0	104	0	30
5f7baf278dc76b829a762a0b5d47c7d2	0	16	19	41	38	0	25	0	0	0	0	0	22	42	36	0	11	0	16	11	0	0	10	18	31	0	14	0	26
63e0ba45762aaf02db09e6ad6d433e69	0	32	54	16	18	0	0	0	57	18	0	23	0	53	33	0	38	0	34	13	0	23	0	14	31	0	0	32	19
4d2db9799079942a33e21d2b8273a492	0	18	22	37	51	0	39	0	0	0	0	0	22	40	48	0	12	0	4	17	0	0	13	28	41	0	11	0	23
4c3f1d9af67c8458d200239c202e4165	0	0	0	0	21	0	60	0	18	0	0	0	0	50	17	0	136	37	29	13	0	0	0	0	14	0	91	0	27
0b19186e1d09b3464470ade1f50ba4e8	18	15	31	0	0	15	13	83	0	18	19	15	0	0	0	43	52	32	0	0	45	52	17	29	0	30	0	36	0
8e4aef87d42dfa1db2d2a7f2ca3b08b3	8	0	35	38	0	0	14	0	14	33	20	30	41	0	0	0	0	0	15	29	20	0	15	50	35	0	24	0	0
89d4f3c8d20005913ca15c7b635d3d19	0	42	0	0	0	0	0	0	0	30	0	26	34	46	0	0	0	30	10	2	0	51	18	0	23	0	0	0	0
55326a0fc89970a4a2b33b5aa731ea42	0	13	18	27	63	0	0	43	20	0	0	11	25	28	43	0	14	18	6	0	0	44	11	39	22	0	7	34	16
fce0d948fe8de6ce00b9ebf32c6112ab	27	27	41	0	0	34	0	0	19	13	19	12	0	0	27	28	0	0	22	17	23	0	19	14	10	37	32	0	0
351209732cfa9d93efd1d6ad8e84acb0	26	28	26	0	0	25	0	0	10	23	33	7	0	0	30	29	0	0	13	22	23	0	35	14	10	26	28	0	0
1e816ad10847b2300904f6159d0fa2c3	0	32	0	0	0	0	0	0	0	24	0	29	21	34	0	0	0	29	15	3	0	69	16	0	12	0	0	0	0
d295301ca316b11f916b115180d6a92e	11	0	28	0	0	0	0	0	20	0	18	8	33	26	27	0	10	27	18	12	11	34	20	27	17	0	9	0	0
8633d861e75d90c0182e406f27c7adc7	0	35	25	18	11	0	0	0	42	21	0	15	0	49	37	0	17	0	31	10	0	18	0	22	37	0	0	18	18
c8f203a2c1ac2ea87faa976193b61e61	0	15	20	35	62	0	24	0	0	0	0	11	18	33	39	0	25	6	7	0	0	30	14	24	18	0	9	42	15
79181c204ce87643741f59b96528feea	3	0	0	31	0	59	0	0	0	0	28	23	0	21	0	23	0	0	0	20	13	60	0	49	40	31	0	0	0
e7a1ebf99c14b57c7edec2cf89b6cc2a	19	0	0	54	0	75	25	0	0	0	0	18	0	0	33	30	0	21	26	8	0	40	0	23	0	42	37	0	37
7fc42926fc252aef0dbaa34b103e5c14	6	0	0	28	0	51	0	0	0	0	27	16	0	30	0	33	0	0	0	26	11	56	0	35	39	41	0	0	0
7030a994279cd8400f6012365cafceea	12	8	71	22	0	28	18	0	19	34	25	8	78	47	16	26	18	0	6	13	1	6	20	29	16	29	18	0	2
8a43569f83727f1a91f49c607378099d	55	5	13	20	0	0	14	7	0	6	39	4	1	8	11	45	4	22	0	5	72	15	0	25	1	19	3	16	0
ffd033102a6a317eb99a3f8ff243caa6	0	13	0	102	0	41	11	0	50	0	0	12	0	108	12	0	36	16	30	0	0	0	0	0	25	0	39	0	24
1c44d17e111cabff0684af0846b250b6	0	0	0	0	0	52	33	0	19	29	8	0	0	0	0	84	0	0	50	13	0	0	0	0	30	60	0	0	19
1b6ff0744f023d15260827dac2951ca0	0	19	36	41	0	81	0	0	0	0	0	53	12	50	42	41	0	0	19	27	0	35	41	0	41	23	0	27	37
6a78654a2601acfabbada88aaae21ce3	50	8	6	21	5	0	9	12	0	14	50	5	2	3	11	54	5	14	0	0	72	11	5	31	1	28	2	19	0
4ca92d367c70c60d30bf725ceb1f82ea	10	0	35	0	0	0	0	0	14	0	16	11	20	19	19	0	8	26	13	11	16	19	26	26	20	0	19	0	0
4e4cb10417b85d935196cabfabbfb366	0	0	0	45	0	0	0	0	0	56	0	28	0	32	41	0	0	0	0	15	0	0	0	0	29	0	0	0	0
fa816e9ff66b54fcc73a1c28243d8025	13	8	64	8	0	33	15	0	9	25	12	10	57	35	15	20	16	0	6	17	10	12	22	19	17	38	17	0	6
4d9eff55594fc0872140e86671b6c70b	40	0	0	43	0	52	20	0	0	0	0	20	0	0	0	29	0	14	12	23	0	33	0	23	0	35	31	0	0
7cd250c7e1a844521db69f4942f4463e	34	15	0	0	0	92	0	0	0	0	39	21	26	28	38	0	34	0	0	19	69	0	22	0	0	19	0	0	0
2a4f3e6fb8cc501d25beb624699deba8	0	0	0	0	0	49	39	0	25	33	15	0	0	0	0	67	0	0	61	11	0	0	0	0	16	65	0	0	21
08c22a9d8bb7bb0aa334775a1f444efc	16	0	27	33	0	0	34	0	16	0	0	0	49	58	0	0	0	0	0	14	0	0	0	40	0	0	19	0	32
af4989f147cbc035721530ef544f9abd	11	12	60	13	12	22	14	0	13	20	8	10	64	41	22	12	9	0	9	17	14	7	25	21	9	36	19	0	0
63c8c5ec68a053611392587b23a547a2	21	14	0	0	0	0	23	22	0	0	20	0	28	0	0	0	45	22	0	0	0	28	19	0	0	0	25	0	0
725c4bc83cfcf7223600aa27a21ab328	18	11	0	0	0	0	22	22	0	0	21	0	43	0	0	0	46	14	0	0	0	38	18	0	0	0	23	0	0
a41936be42b223714531256b31410ea3	0	9	0	0	0	96	0	0	0	0	0	8	0	0	8	120	0	12	0	0	0	18	0	0	0	126	0	27	0
6465753b13fc655ffdcf55e9b2b1f231	0	0	21	46	0	65	0	0	0	0	0	0	11	68	0	49	0	0	14	18	0	0	54	0	23	24	0	38	0
b837f8977ef7dbf816ce5d2a9b9af305	0	15	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	215	0
fb792f5a67aed4f2e0ff3b74a2148a46	0	36	48	32	0	0	0	20	32	0	0	34	18	45	13	0	0	0	0	16	0	0	21	37	8	0	16	0	15
39f8eb263b966ce5d90576ee69c337ba	0	9	0	0	0	43	27	0	0	0	24	24	0	37	0	0	54	0	14	0	0	17	0	0	17	28	45	34	29
8bf5c3ce0f4325a075b3080691df7234	9	12	0	19	0	0	17	0	6	15	31	25	10	10	12	22	0	25	0	41	25	7	0	33	0	14	32	13	0
1ca117bfd1310de453d1eb55ef5a8f57	11	7	0	36	0	0	0	0	0	9	22	25	0	22	0	0	0	20	0	20	43	16	0	33	0	0	0	21	0
461689c030ab819de35ae120a1f9f13b	11	8	0	42	0	0	0	0	0	11	14	32	0	20	0	0	0	14	0	25	38	19	0	27	0	0	0	24	0
de6eebfe60f5636dd79fded131750575	0	0	0	27	0	0	0	0	0	30	0	22	0	40	41	0	0	0	0	6	0	0	0	0	20	0	0	0	0
0c7a712cde9202da28fa7340e662496a	0	25	0	0	0	28	25	0	0	0	25	17	0	32	0	0	47	0	11	0	0	21	0	0	25	15	36	22	31
587d9d266b479437d497fd10bf28f452	0	17	0	107	10	31	18	0	39	0	0	26	0	90	17	0	23	5	25	0	0	0	0	0	17	0	29	0	24
3dc186374c5aa14c829af36f6d358c28	29	26	0	0	0	0	0	0	0	0	36	13	23	0	37	0	41	0	0	14	45	0	19	0	0	19	0	0	0
c77f4312cec3caab4a83e15ff7215c7c	7	0	15	40	0	0	17	0	12	0	0	0	35	53	0	0	23	0	0	18	31	0	0	48	0	0	21	0	25
a9eb7dac03a75943fe25c6c914454263	0	50	0	0	30	22	0	0	0	0	0	31	0	0	0	0	0	20	0	0	0	55	0	64	11	6	46	28	0
6f205787ccc4dbb1b9ab904363fb5fcb	18	23	24	17	0	0	0	44	31	19	39	0	13	34	0	0	0	18	9	22	50	0	8	0	19	0	0	15	0
b91a9a16d4d797fd6f6b9d3a655aa5e7	20	29	0	0	0	0	0	0	19	10	32	9	26	21	0	0	0	0	17	13	33	34	10	16	0	0	19	0	16
74e8ff5dd585074140423de0a4762258	0	29	55	34	0	0	0	20	0	0	0	28	26	32	29	0	0	0	0	13	0	0	16	23	4	0	27	0	0
854b6d4959625bf1fdcdecfc06c6c72d	0	25	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	201	0
c45f22d7103a9253c79edc668666a9ad	0	34	0	0	65	21	0	0	0	0	0	22	0	0	0	0	0	15	0	0	0	46	0	51	10	6	32	30	30
031f197f4edca7de405f242a2169b6f8	0	7	0	0	0	87	0	0	0	0	0	8	0	0	7	102	0	15	0	0	0	11	0	0	0	85	0	23	0
bb7d662837be03af9cdae70529d7df94	17	0	32	0	50	0	0	42	0	29	24	38	37	0	47	0	0	27	0	34	22	0	40	0	0	0	0	28	37
a76948cacd76e734303cebec82df18b8	20	20	18	9	0	0	0	33	19	13	27	0	14	23	0	0	0	20	14	10	57	0	12	0	15	0	0	9	0
3bab58c70ca90ef8bd4f940d03aa611f	0	0	13	53	0	0	0	0	0	17	0	23	0	0	22	0	0	52	0	0	0	0	0	0	31	0	0	0	0
6236c666bef61360034286750d7d351f	6	0	0	0	34	37	23	0	25	0	15	0	0	0	21	50	0	0	30	0	13	0	0	0	13	49	0	0	17
ab53899a460e1d732ad9f683bed06da5	0	21	0	40	0	0	0	0	16	0	0	0	24	0	0	0	0	0	8	0	0	0	0	37	46	0	0	0	0
45cca51d4947e9ad68aece145e5a7ec8	0	0	10	39	0	0	0	0	0	22	0	34	0	0	17	0	0	32	0	0	0	0	0	0	33	0	0	0	0
85f3064200bdea053261d4cd42675233	0	0	0	23	0	0	0	0	0	0	0	30	23	54	0	0	0	0	0	0	0	59	23	36	0	0	0	24	0
1931084be1b2a907219ec4b13d1d8c21	28	17	40	0	0	0	0	0	0	0	0	21	21	40	0	0	0	0	0	22	28	0	0	27	0	0	0	0	0
51aef8e6f55c5ebabd53aa57c8d0dc63	19	44	0	21	0	67	27	84	0	29	13	0	0	0	0	31	28	4	0	13	37	26	0	0	0	58	7	18	0
a2f260f9ca9842894f5a83f1ba020b70	0	27	0	0	0	0	45	0	22	0	0	56	49	0	0	0	0	0	7	0	0	0	20	27	22	0	0	0	0
590c2c92c1dc114cbc60f7f04bac42d6	0	12	21	0	0	0	0	0	0	0	0	0	11	0	30	0	40	0	10	16	0	0	20	14	0	0	16	0	27
c8d19bcd56b5aa50ab6cf970c90aaede	0	0	0	31	0	0	0	0	0	0	0	31	43	49	0	0	0	0	0	0	0	42	21	26	0	0	0	27	0
510635208a447e97d75a564a5067bf7a	0	19	40	24	0	0	42	0	19	0	0	12	28	22	31	0	32	0	11	0	0	41	37	23	23	0	37	0	10
b60a828b1570a5e1feb756bfa51c4f15	11	33	0	17	0	79	16	74	0	24	23	0	0	0	0	48	35	3	0	7	46	28	0	0	0	63	8	15	0
5b1c0525da88e071fe6e3ca7d9cf0856	0	16	36	0	38	0	13	0	14	0	0	40	7	0	10	0	24	19	16	0	0	21	25	0	19	0	0	33	22
3cf46c0ca8ec21edd4831352fc7a1ae8	0	14	27	0	0	0	0	0	0	0	0	22	25	0	0	0	0	0	0	18	28	0	0	28	0	0	0	0	0
d9e0222c6c0fec0ee9e5288e81dc78fc	0	11	0	75	0	0	15	0	34	0	0	8	0	77	23	0	24	13	31	0	0	0	0	0	18	0	41	0	26
21244344ecc11d34801ea1a3e7e60729	12	10	0	0	0	0	0	0	20	15	33	0	23	21	0	0	0	0	15	11	44	35	4	22	0	0	5	0	19
197781ef6e447a7c930448bc0b76619a	0	23	19	27	0	0	0	0	26	0	0	6	18	40	0	0	0	0	0	9	0	18	30	24	0	0	0	0	0
